Country,Last,Previous,Reference,Unit
Burkina Faso,30.01,29.63,21-Dec,celsius
Mali,29.78,29.4,21-Dec,celsius
Senegal,29.63,29.56,21-Dec,celsius
Qatar,29.42,28.45,21-Dec,celsius
Mauritania,29.3,29.1,21-Dec,celsius
Bahrain,29.15,28.15,21-Dec,celsius
United Arab Emirates,29.08,28.38,21-Dec,celsius
Aruba,29.03,29.37,21-Dec,celsius
Gambia,29,29.03,21-Dec,celsius
Guinea Bissau,28.76,28.71,21-Dec,celsius
Benin,28.7,28.43,21-Dec,celsius
Djibouti,28.46,28.43,21-Dec,celsius
Ghana,28.3,28.1,21-Dec,celsius
Sudan,28.17,27.42,21-Dec,celsius
Oman,28.1,27.82,21-Dec,celsius
Niger,28.09,27.85,21-Dec,celsius
Marshall Islands,28.07,28.43,21-Dec,celsius
Togo,28.05,27.82,21-Dec,celsius
Cayman Islands,27.99,28.3,21-Dec,celsius
Kuwait,27.89,26.89,21-Dec,celsius
Guam,27.88,28.02,21-Dec,celsius
Maldives,27.74,27.78,21-Dec,celsius
Singapore,27.74,28.02,21-Dec,celsius
Chad,27.72,27.37,21-Dec,celsius
Nigeria,27.67,27.43,21-Dec,celsius
Northern Mariana Islands,27.65,27.84,21-Dec,celsius
St Kitts and Nevis,27.61,27.73,21-Dec,celsius
Palau,27.56,27.72,21-Dec,celsius
Samoa,27.56,27.75,21-Dec,celsius
Kiribati,27.49,27.49,21-Dec,celsius
Cambodia,27.44,27.9,21-Dec,celsius
Sri Lanka,27.41,27.66,21-Dec,celsius
Ivory Coast,27.37,27.19,21-Dec,celsius
American Samoa,27.34,27.52,21-Dec,celsius
Antigua and Barbuda,27.33,27.44,21-Dec,celsius
Sierra Leone,27.19,27.01,21-Dec,celsius
Seychelles,27.07,27.26,21-Dec,celsius
St Lucia,27.04,27.18,21-Dec,celsius
Micronesia,27.01,27.34,21-Dec,celsius
Dominica,26.91,27.03,21-Dec,celsius
Thailand,26.91,27.43,21-Dec,celsius
Somalia,26.88,27.08,21-Dec,celsius
Eritrea,26.87,26.38,21-Dec,celsius
Virgin Islands,26.83,26.97,21-Dec,celsius
Saudi Arabia,26.8,26.18,21-Dec,celsius
Barbados,26.64,26.8,21-Dec,celsius
Philippines,26.6,26.64,21-Dec,celsius
Guinea,26.59,26.33,21-Dec,celsius
Suriname,26.56,26.9,21-Dec,celsius
Trinidad and Tobago,26.54,26.78,21-Dec,celsius
Grenada,26.49,26.67,21-Dec,celsius
Malaysia,26.46,26.67,21-Dec,celsius
Nicaragua,26.19,26.33,21-Dec,celsius
St Vincent and the Grenadines,26.17,26.33,21-Dec,celsius
Belize,26.15,26.38,21-Dec,celsius
Guyana,26.15,26.52,21-Dec,celsius
Cuba,26.05,26.43,21-Dec,celsius
Indonesia,25.99,26.18,21-Dec,celsius
Liberia,25.87,25.73,21-Dec,celsius
Jamaica,25.8,26.05,21-Dec,celsius
Central African Republic,25.78,25.67,21-Dec,celsius
Bangladesh,25.68,25.38,21-Dec,celsius
Gabon,25.65,25.73,21-Dec,celsius
Panama,25.62,25.9,21-Dec,celsius
Yemen,25.62,25.62,21-Dec,celsius
Venezuela,25.61,25.93,21-Dec,celsius
Solomon Islands,25.6,25.6,21-Dec,celsius
Brazil,25.58,25.93,21-Dec,celsius
